Title,Date,Description,Link,Location,Source
President to take part in convocation at Tiruvarur Central University,2024-11-19 14:31:39,President Droupadi Murmu is scheduled to confer gold medals on 33 top-ranking students and present degree certificates to 22 doctoral graduand,https://www.thehindu.com/news/national/tamil-nadu/president-to-take-part-in-convocation-at-tiruvarur-central-university/article68885166.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Army, Navy, Air Force conduct joint exercise in Arunachal Pradesh",2024-11-19 14:26:05,"The four-day exercise, 'Poorvi Prahar', validated the effectiveness of joint structures in intelligence gathering, surveillance, reconnaissance, rapid mobilisation, deployment and operational logistics, he said.",https://www.thehindu.com/news/national/army-navy-air-force-conduct-joint-exercise-in-arunachal-pradesh/article68885187.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Action taken against Salem teacher for attending event felicitating former CM Palaniswami and allegedly neglecting school duties,2024-11-19 14:09:15,The District Educational Officer reportedly received complaints against Mr. Seetharaman for not coming to school regularly and for doing AIADMK party-related work while in government service,https://www.thehindu.com/news/cities/Coimbatore/action-taken-against-salem-teacher-for-attending-event-felicitating-former-cm-palaniswami-and-allegedly-neglecting-school-duties/article68885115.ece,salem,https://www.thehindu.com/news/national/feeder/default.rss
ISRO depended on SpaceX to launch GSAT-N2 as its existing capability was not sufficient: Former chiefs,2024-11-19 13:57:12,"SpaceX placed the 4,700 kg GSAT-N2 High-throughput (HTS) satellite onboard a Falcon 9 rocket into the desired orbit",https://www.thehindu.com/sci-tech/isro-depended-on-spacex-to-launch-gsat-n2-as-its-existing-capability-was-not-sufficient-former-chiefs/article68885129.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Shiv Sena workers offering cash for voter IDs in Chhatrapati Sambhajinagar, claims Danve",2024-11-19 13:51:47,Opposition leader accuses police of aiding Shiv Sena in voter ID scam ahead of Maharashtra elections,https://www.thehindu.com/elections/maharashtra-assembly/shiv-sena-workers-offering-cash-for-voter-ids-in-chhatrapati-sambhajinagar-claims-danve/article68885100.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Probe into woman missing case unearths murder in Kerala’s Alappuzha,2024-11-19 13:44:03,Preliminary examination confirms the body to be that of Karunagapally native Vijayalakshmi,https://www.thehindu.com/news/national/kerala/probe-into-woman-missing-case-unearths-murder-in-keralas-alappuzha/article68885110.ece,kerala,https://www.thehindu.com/news/national/feeder/default.rss
"“Human beings are helplessly fake”: Saharu Nusaiba Kannanari, author of JCB Prize-shortlisted Chronicle of an Hour and a Half",2024-11-19 13:43:09,The debutant author talks about his fascination with human nature and his solitary writerly life,https://www.thehindu.com/books/interview-saharu-nusaiba-kannanari-author-chronicle-of-an-hour-and-a-half-jcb-prize-shortlist/article68875213.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Google Play reveals this year’s best apps and games,2024-11-19 13:42:27,"The best overall app this year, according to Google, was the party-planning app Partiful, while “AFK Journey” won in the best game category in the U.S.",https://www.thehindu.com/sci-tech/technology/google-play-reveals-this-years-best-apps-and-games-from-play/article68884939.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Savarkar defamation case: Rahul Gandhi asked to appear in Pune court on December 2,2024-11-19 13:23:19,V.D. Savarkar's grandnephew Satyaki Savarkar had filed a complaint in a Pune court against a speech made by Rahul Gandhi in London in March 2023,https://www.thehindu.com/news/national/savarkar-defamation-case-rahul-gandhi-asked-to-appear-in-pune-court-on-december-2/article68885062.ece,london,https://www.thehindu.com/news/national/feeder/default.rss
11 Manipur MLAs get notice for not attending CM Biren Singh’s meeting,2024-11-19 13:21:39,The National People’s Party also issued show-cause notices to three MLAs who participated in the meeting despite the withdrawal of support to the BJP-led government in the State,https://www.thehindu.com/news/national/manipur/11-manipur-mlas-get-notice-for-not-attending-cm-biren-singhs-meeting/article68884941.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Delhi govt seeks centre's nod for artificial rain,2024-11-19 13:20:47,Mr. Rai said the Centre has not acted on the Delhi Government's repeated requests to allow artificial rain in the national capital and he will again write to Union Environment Minister Bhupender Yadav,https://www.thehindu.com/news/cities/Delhi/delhi-air-pollution-govt-seeks-centres-nod-for-artificial-rain-says-pms-moral-responsibility-to-intervene/article68884932.ece,"centre, delhi",https://www.thehindu.com/news/national/feeder/default.rss
Maharashtra election: QR codes introduced in Thane to help voters with polling booths,2024-11-19 13:14:31,"Thane collector and election officer Ashok Shingare reported that as of November 18  morning, 3.27 million (nearly 50%) had already accessed the QR codes",https://www.thehindu.com/elections/maharashtra-assembly/maharashtra-election-qr-codes-introduced-in-thane-to-help-voters-with-polling-booths/article68885033.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Police action, infighting and eroding local support likely forced Maoist leader Vikram Gowda to flee Wayanad",2024-11-19 13:13:57,There had been no reported sightings of Vikram Gowda in Wayanad for over a year,https://www.thehindu.com/news/national/kerala/police-action-infighting-and-eroding-local-support-likely-forced-maoist-leader-vikram-gowda-to-flee-wayanad/article68884992.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Writing is on wall but is HM Shah reading it: Congress's dig over MLAs 'skipping' NDA meet in Manipur,2024-11-19 13:04:58,"Congress general secretary in-charge communications Jairam Ramesh also asked how long will the ""excruciating agony"" of the people of Manipur continue like this.",https://www.thehindu.com/news/national/congresss-dig-over-mlas-skipping-nda-meet-in-manipur-jairam-ramesh/article68884861.ece,manipur,https://www.thehindu.com/news/national/feeder/default.rss
Case of Naxal leader Vikram Gowda was scheduled to come up for hearing in Karkala court on November 20,2024-11-19 12:51:23,He was among nine Maoists accused in the murder of 50-year-old bamboo basket weaver Sadashiva Gowda in Hebri in December 2011,https://www.thehindu.com/news/cities/Mangalore/case-of-naxal-leader-vikram-gowda-was-scheduled-to-come-up-for-hearing-in-karkala-court-on-november-20/article68884897.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Anil Deshmukh attacked: Case against 4 unidentified persons for murder bid,2024-11-19 12:48:27,"NCP leader Anil Deshmukh attacked in Nagpur, demands high-level probe, blames BJP, police register case against 4",https://www.thehindu.com/news/national/maharashtra/ex-minister-anil-deshmukh-attacked-case-against-4-unidentified-persons-for-murder-bid/article68884945.ece,nagpur,https://www.thehindu.com/news/national/feeder/default.rss
"Ahead of winter session of Parliament, government to convene all-party meet on Sunday",2024-11-19 12:47:59,"Parliamentary Affairs Minister Kiren Rijiju said in a post that the meet has been convened on November 24 morning ""in view of the coming Winter session of Parliament."" The session begins on November 25 and concludes on December 20",https://www.thehindu.com/news/national/ahead-of-winter-session-of-parliament-govt-to-convene-all-party-meet-on-sunday/article68884833.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Malayalam actor Siddique gets anticipatory bail from Supreme Court in sexual abuse case,2024-11-19 12:32:37,A Bench of Justices Bela M. Trivedi and Satish Chandra Sharma said Malayalam actor Siddique will have to deposit his passport and cooperate with the investigating officer in the probe.,https://www.thehindu.com/news/national/kerala/malayalam-actor-siddique-gets-anticipatory-bail-from-supreme-court-in-sexual-abuse-case/article68884875.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Indira Gandhi protected environment, which is under 'systematic assault' now: Jairam Ramesh",2024-11-19 12:20:23,"Speaking on the former prime minister’s birth anniversary, Mr. Ramesh said Indira Gandhi gave Indian science and technology a renewed push and fresh momentum",https://www.thehindu.com/news/national/indira-gandhi-protected-environment-which-is-under-systematic-assault-now-jairam-ramesh/article68884753.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Body of missing girl found on Hyderabad outskirts; three, including boyfriend, held for murder",2024-11-19 12:10:55,The girl met the boy through Instagram. He killed her after marrying the victim in a staged ceremony on November 8.,https://www.thehindu.com/news/national/telangana/body-of-missing-girl-found-on-hyderabad-outskirts-three-including-boyfriend-held-for-murder/article68882956.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
HYDRAA pulls down encroachment for road infringement in Hyderabad’s Ameenpur,2024-11-19 12:05:53,,https://www.thehindu.com/news/cities/Hyderabad/hydraa-pulls-down-encroachment-for-road-infringement-in-hyderabads-ameenpur/article68882702.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
How to make the most of your Amazon Audible subscription,2024-11-19 11:59:28,Here are some tips and tricks in order to optimise your Audible audiobook subscription and listening experience,https://www.thehindu.com/sci-tech/technology/how-to-make-the-most-of-your-amazon-audible-subscription/article68884657.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Vikarabad attack: Parigi DSP attached to DGP office,2024-11-19 11:37:37,,https://www.thehindu.com/news/national/telangana/vikarabad-attack-parigi-dsp-attached-to-dgp-office/article68883171.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Former Digital Media director in BRS govt ‘arrested’ by police,2024-11-19 11:29:15,,https://www.thehindu.com/news/national/telangana/former-digital-media-director-in-brs-govt-arrested-by-police/article68883263.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Delhi air pollution LIVE: AQI at 471; Environment Minister says call on odd-even measures to be taken soon,2024-11-19 11:28:11,"Delhi government seeks Centre’s nod for artificial rain, says PM Modi’s moral responsibility to intervene",https://www.thehindu.com/news/cities/Delhi/delhi-ncr-air-quality-pollution-aqi-smog-visibility-live-updates-nov-19-2024/article68884795.ece,delhi,https://www.thehindu.com/news/national/feeder/default.rss
Nizamabad Mayor’s husband attacked by man with hammer over land dispute,2024-11-19 11:23:18,,https://www.thehindu.com/news/national/telangana/nizamabad-mayors-husband-attacked-by-man-with-hammer-over-land-dispute/article68883446.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"LDF, UDF in Kerala observe hartal in landslide-hit Wayanad over lack of Central assistance",2024-11-19 11:10:20,CPI(M)-led LDF and Congress-headed UDF announced hartals separately to protest against the lack of Central assistance for landslide victims in Wayanad even months after the disaster,https://www.thehindu.com/news/national/kerala/ldf-udf-in-kerala-observe-hartal-in-landslide-hit-wayanad-over-lack-of-central-assistance/article68884746.ece,kerala,https://www.thehindu.com/news/national/feeder/default.rss
Delhi air pollution: CJI Sanjeev Khanna gives lawyers the option to appear online,2024-11-19 11:01:33,Chief Justice of India Sanjiv Khanna’s oral instruction to lawyers to either opt for online mode or in person appearance follows a request made senior advocate Kapil Sibal.,https://www.thehindu.com/news/national/delhi-air-pollution-cji-sanjeev-khanna-gives-lawyers-the-option-to-appear-online/article68884722.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Punjab sees season’s maximum single day spike in farm fires at 1,251",2024-11-19 10:53:56,"Muktsar district recorded the highest number of farm fires at 247, followed by Moga (149) and Firozpur (130)",https://www.thehindu.com/news/national/punjab/punjab-sees-seasons-maximum-single-day-spike-in-farm-fires-at-1251/article68882866.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Night temperatures dip in Telangana; coldest in Sircilla at 12°C, Hyderabad records 15.3°C",2024-11-19 10:48:42,"Temperatures across the State included 13.6°C in Hanamkonda, 14.4°C in Jayashankar Bhupalpally, 14.9°C in Nagarkurnool,",https://www.thehindu.com/news/cities/Hyderabad/temperatures-plummet-across-telangana-hyderabad-sees-cooler-nights/article68884546.ece,telangana,https://www.thehindu.com/news/national/feeder/default.rss
Akali Dal’s working committee asks Sukhbir to reconsider his resignation,2024-11-19 10:46:53,"In a meeting held here, the working committee expressed its confidence in the leadership of Mr. Badal and asserted that if the latter did not accept its request the entire committee would resign, passing a resolution in this regard",https://www.thehindu.com/news/national/chandigarh/sad-sukhbir-singh-badal-resignation/article68882462.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"G20: PM Modi meets Italian PM Meloni, European counterparts; discusses ways to strengthen ties",2024-11-19 10:40:10,"PM Modi met the leaders of Indonesia, Norway, Portugal, Egypt and South Korea, as well as IMF’s Gita Gopinath, on the sidelines of the G20 Summit",https://www.thehindu.com/news/national/pm-modi-meets-italian-pm-meloni-european-counterparts-at-g20-summit-discusses-ways-to-strengthen-ties/article68884652.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Meta to appeal against CCI’s ₹213 crore penalty,2024-11-19 10:40:03,India’s competition watchdog imposed a penalty of ₹213.14 crore on the social media giant for unfair business ways with respect to WhatsApp privacy policy update done in 2021,https://www.thehindu.com/sci-tech/technology/we-disagree-with-decision-plan-to-appeal-meta-on-cci-imposing-213-crore-penalty/article68884674.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Six killed as van rams into truck in Gujarat's Bharuch,2024-11-19 10:39:06,"The accident took place on Jambusar-Amod road near Magnad village at around 11 pm on November 18, 2024.",https://www.thehindu.com/news/national/gujarat/six-killed-as-van-rams-into-truck-in-gujarats-bharuch/article68884675.ece,gujarat,https://www.thehindu.com/news/national/feeder/default.rss
KSRTC to address odour complaints in Flybus bio-toilets with redesign and better maintenance,2024-11-19 10:32:17,Improper toilet use by some passengers has been identified as a contributing factor to the odour problem,https://www.thehindu.com/news/cities/bangalore/ksrtc-to-address-odour-complaints-in-flybus-bio-toilets-with-redesign-and-better-maintenance/article68882283.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
G-20 summit: EAM Jaishankar meets Chinese FM Yi; discusses India-China ties,2024-11-19 10:30:17,"After the meeting, the Chinese Ministry said that both Ministers committed to implementing the consensus between Prime Minister Narendra Modi and President Xi Jinping in Kazan last month",https://www.thehindu.com/news/international/g-20-summit-eam-jaishankar-meets-fm-yi-discusses-india-china-ties/article68884672.ece,kazan,https://www.thehindu.com/news/national/feeder/default.rss
"ANF, police intensify combing operations after suspected Maoists visit Kadegundi in Chikkamagaluru district of Karnataka",2024-11-19 09:49:04,"Suspected Maoists Mundagaru Latha, John alias Jayanna, and two others visited the house of Subbe Gowda and Rathnamma at Kadegundi on November 9 and 10",https://www.thehindu.com/news/national/karnataka/anf-police-intensify-combing-operations-after-suspected-maoists-visit-kadegundi-in-chikkamagaluru-district-of-karnataka/article68884552.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"Telangana Pollution Control Board, HYDRAA to join hands for arresting water pollution",2024-11-19 09:24:23,"Team of officials from both bodies will work together towards real-time monitoring of water quality in lakes and water bodies, stopping illegal dumping, and seizure of vehicles.",https://www.thehindu.com/news/national/telangana/telangana-pollution-control-board-hydraa-to-join-hands-for-arresting-water-pollution/article68882446.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Delhi’s air quality remains ‘severe plus’ for second consecutive day,2024-11-19 09:20:29,"According to the Central Pollution Control Board (CPCB) data, Delhi’s overall 24-hour average air quality index (AQI) was 488 at 8 a.m. on Tuesday — the worst in the country",https://www.thehindu.com/news/cities/Delhi/delhis-air-quality-remains-severe-plus-for-second-consecutive-day/article68884520.ece,delhi,https://www.thehindu.com/news/national/feeder/default.rss
Manipur BJP MLAs want Centre to declare Kuki militants responsible for Jiribam killings as ‘unlawful organisation’,2024-11-19 09:13:30,"At a Cabinet meeting chaired by Chief Minister N. Biren Singh, the MLAs demanded ‘mass operations against Kuki militants responsible for’ the abduction and killing of women and children in Jiribam",https://www.thehindu.com/news/national/manipur/review-afspa-declare-kuki-militants-responsible-for-jiribam-killings-as-unlawful-organisation-manipur-mlas-to-centre/article68884478.ece,centre,https://www.thehindu.com/news/national/feeder/default.rss
"Tamil Nadu rains: Holiday declared for schools in Thanjavur, Nagapattinam, Thoothukudi and Karaikal",2024-11-19 09:00:44,"The Regional Meteorological Centre has predicted heavy rain is likely at isolated places over Mayiladuthurai, Tiruvarur, Nagapattinam, Thanjavur, Pudukkottai, and Karaikal on Tuesday, November 19, 2024.",https://www.thehindu.com/news/national/tamil-nadu/tamil-nadu-rains-holiday-declared-for-schools-in-thanjavur-nagapattinam-thoothukudi-and-karaikal/article68884493.ece,"thanjavur, pudukkottai",https://www.thehindu.com/news/national/feeder/default.rss
Young troupe SOULitude Theatre brings its Kannada thriller drama Karma to Ranga Shankara,2024-11-19 09:00:00,"Karma is a psychological thriller Kannada drama that delves into the complications of human relationships, encompassing marriage, friendship, love, affair, and subconscious indulgences",https://www.thehindu.com/news/cities/bangalore/young-troupe-soulitude-theatre-brings-its-kannada-thriller-drama-karma-to-ranga-shankara/article68881657.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
"‘It is important to study human-elephant conflict, but it is also important to understand elephants’ backgrounds and  society’",2024-11-19 09:00:00,"The talk was a part of  ‘Kaapi with Kuriosity’, a monthly public lecture series organised by the International Centre for Theoretical Sciences (ICTS-TIFR) in collaboration with the Jawaharlal Nehru Planetarium and other educational institutions in Bengaluru",https://www.thehindu.com/news/cities/bangalore/it-is-important-to-study-human-elephant-conflict-but-it-is-also-important-to-understand-elephants-backgrounds-and-society/article68878357.ece,bengaluru,https://www.thehindu.com/news/national/feeder/default.rss
Prime Maoist leader Vikram Gowda killed in police encounter near Udupi’s Hebri,2024-11-19 08:54:20,There were reports of Maoists’ visit to a house in Yadagunda village in Koppa taluk; the ANF intensified combing operation in November first week,https://www.thehindu.com/news/cities/Mangalore/prime-maoist-leader-vikram-gowda-killed-in-police-encounter-near-hebri/article68884424.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Manipur: Kuki groups to hold coffin rally to ‘pay tribute’ to 10 slain youths,2024-11-19 08:27:54,Zomi Students' Federation (ZSF) and Kuki Students' Organisation (KSO) and Hmar Students' Association (HSA) directed schools and colleges to send pupils from class 10 onwards to participate in the event wearing black shirts,https://www.thehindu.com/news/national/manipur/manipur-kuki-groups-to-hold-coffin-rally-to-pay-tribute-to-10-slain-youths/article68884434.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
IIT Bombay scientists develop water-pollutant detecting device ‘AroTrack’,2024-11-19 08:06:29,The device uses a protein-based biosensor to detect harmful pollutants like phenol and benzene from water samples.,https://www.thehindu.com/sci-tech/science/iit-bombay-scientists-develop-water-pollutant-detecting-device-arotrack/article68883355.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
Maharashtra 2024 elections: Rural Vidarbha’s poorer districts may shape poll outcome,2024-11-19 08:00:00,"In Maharashtra, the BJP and its partners saw a decline in Vidarbha in the Lok Sabha polls. If this persists, the Mahayuti may struggle in the State polls",https://www.thehindu.com/data/maharashtra-elections-rural-vidarbhas-poorer-districts-may-shape-poll-outcome/article68881910.ece,Unknown,https://www.thehindu.com/news/national/feeder/default.rss
